id,Tweet,following,followers,actions,is_retweet,tweet_url
80,'#AUTOZ OFERTA 5% de desconto em PROD./CATEG. na LOJA Código  [ autozoferta ]  Válido: 31/12/2021 23:59:00  Mais cupons em:  &gt;&gt; https://t.co/2aLFleDjy4#automotivo #Desconto #BlackFriday #BlackFriday2021',2306,2825,0,False,https://twitter.com/tatutaduro/status/1466942846448152586
81,'Compras Fnac #BlackFriday. @acontrafilms @divisahomevideo @SelectaVision @WarnerBrosSpain https://t.co/yxFRaNXSLe',5001,731,3,True,https://twitter.com/ArturoActor/status/1466942780660494338
82,'#COSTADOSAUIPE OFERTA 15% Off 4 Noites Código  [ OFFICE15 ]  Válido: 31/12/2021 23:59:00  Mais cupons em:  &gt;&gt; https://t.co/PEoJdhLeJ6#turismo #Desconto #BlackFriday #BlackFriday2021',2306,2825,1,False,https://twitter.com/tatutaduro/status/1466935299381116938
83,'o sporting aproveitou a blackfriday para comprar um arbitro',123,76,31,True,https://twitter.com/iarasantosss0/status/1466935202903646212
84,'o sporting aproveitou a blackfriday para comprar um arbitro',1293,124,31,True,https://twitter.com/davi5ds8/status/1466935071827537920
85,'o sporting aproveitou a blackfriday para comprar um arbitro',22,12,31,True,https://twitter.com/Leono_rtc/status/1466934268681232384
86,'Esse ano eu não perdi tanto a linha na #BlackFriday (chegaram 10 caixas aqui em casa), quero nem ver a fatura do cartão, gastei como se fosse herdeira. 😅',517,777,0,False,https://twitter.com/inthehimmel/status/1466932698270904323
87,'Esqueci de fazer a piada da Blackfriday Minha irmãzinha foi comprar um negócio e o cara não vendeu então  fui lá tirar satisfação o cara falou que não tinha nada pra mocinha era tudo promoção',25,18,0,False,https://twitter.com/MdoDudu/status/1466932380321697803
88,'@kabumcombr da um jeito na empresa de logística que trabalha para vcs e faz entregar minha TV logo !!! Tem mais de uma semana de atraso na entrega e não consigo retorno… ! Comprei na #blackfriday e até agora nada',71,24,0,False,https://twitter.com/sharlenecsilva/status/1466931518832615430
89,'@HellenFabris Nem me fale. Na semana de blackfriday, eu perdi um de 30%. O cupom pipocou 30 segundos depois. 🤡',237,194,1,False,https://twitter.com/Adrianolulio/status/1466930715065565187
90,'Minhas compras da blackfriday chegaram hoje: dois vibradores https://t.co/Zk3adw2DA5',180,85,2,False,https://twitter.com/Rebeca_Marias/status/1466930094828670977
91,'Quer abraçar o conceito de casa inteligente? Começar com um "alto-falante inteligente" é um dos caminhos mais fáceis. @blogdiolinux @alexa99 @googlenest #BlackFriday  https://t.co/Aoq1nJzgk1',1048,1165,3,True,https://twitter.com/APDABot/status/1466929851546415104
92,'@Adrieli_S Poxa onde foi essa blackfriday?',1610,210,0,False,https://twitter.com/nomemaisbonito/status/1466928883048062983
93,'Chegou o perfume que comprei na BlackFriday e paguei só 11 fucking reais kkkkkk Foi o melhor investimento',326,547,5,False,https://twitter.com/_victoriaap/status/1466928377575710721
94,'#STUDIOZ OFERTA 10% de desconto para primeira compra na Studio Z Código  [ STZ10 ]  Válido: 31/12/2022 23:59:00  Mais cupons em:  &gt;&gt; https://t.co/NW6ccLPeFg#modaeacessorios #Desconto #BlackFriday #BlackFriday2021',2306,2825,0,False,https://twitter.com/tatutaduro/status/1466927744726487051
95,'acho q esse cancelamento de livro é só na internet, pq o tanto de unboxing que deu nessa blackfriday de livro de Harry Potter 😝😝😝😝😝',475,541,1,False,https://twitter.com/najituita/status/1466927060950081536
